image,x1,y1,x2,y2,gt_char,pred_char,pred_conf(%),correct,top2_char,top2_conf(%),top3_char,top3_conf(%),top4_char,top4_conf(%),top5_char,top5_conf(%)
200010454_00016_1,1467,1750,1581,1851,む,む,94.8,O,滸,0.0,ん,0.0,睜,0.0,艚,0.0
200010454_00016_1,1182,1682,1277,1791,を,を,54.6,O,喋,0.0,毯,0.0,搏,0.0,騰,0.0
200010454_00016_1,151,1535,262,1619,故,故,98.7,O,放,0.0,吹,0.0,殿,0.0,滸,0.0
200010454_00016_1,140,1212,275,1339,人,人,93.5,O,滸,0.0,睜,0.0,汾,0.0,纔,0.0
200010454_00016_1,1473,1948,1577,2070,夜,夜,96.3,O,滸,0.0,睜,0.0,蜾,0.0,虯,0.0
200010454_00016_1,314,1545,400,1660,ま,ま,79.6,O,滸,0.0,艚,0.0,睜,0.0,纔,0.0
200010454_00016_1,312,1069,405,1206,侍,侍,97.1,O,持,0.0,待,0.0,備,0.0,折,0.0
200010454_00016_1,354,340,441,495,き,き,89.2,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,614,1007,689,1122,た,た,84.4,O,毯,0.0,搏,0.0,喋,0.0,騰,0.0
200010454_00016_1,307,1436,411,1545,む,む,92.5,O,ん,0.0,滸,0.0,無,0.0,睜,0.0
200010454_00016_1,1174,485,1300,561,や,や,88.1,O,毯,0.0,喋,0.0,ヤ,0.0,搏,0.0
200010454_00016_1,902,361,992,488,た,た,83.3,O,毯,0.0,搏,0.0,喋,0.0,純,0.0
200010454_00016_1,1190,366,1291,465,の,の,73.5,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,159,1631,257,1710,大,大,95.9,O,人,0.0,滸,0.0,天,0.0,火,0.0
200010454_00016_1,1310,1997,1424,2079,心,心,96.2,O,滸,0.0,睜,0.0,纔,0.0,艚,0.0
200010454_00016_1,296,1852,413,1933,時,時,94.1,O,睜,0.0,滸,0.0,跼,0.0,纔,0.0
200010454_00016_1,184,340,278,429,お,お,92.5,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1229,1190,1277,1299,き,き,88.4,O,毯,0.0,喋,0.0,搏,0.0,僂,0.0
200010454_00016_1,491,1637,558,1796,〱,〱,90.0,O,く,0.0,〲,0.0,喋,0.0,搏,0.0
200010454_00016_1,1517,721,1589,862,き,き,88.8,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,1072,1144,1151,1283,き,き,79.2,O,毯,0.0,さ,0.0,喋,0.0,搏,0.0
200010454_00016_1,1047,1826,1137,1931,侍,侍,98.5,O,待,0.0,備,0.0,伝,0.0,仰,0.0
200010454_00016_1,332,539,424,599,い,い,77.1,O,毯,0.0,喋,0.0,搏,0.0,諜,0.0
200010454_00016_1,147,1402,225,1493,て,て,70.5,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
200010454_00016_1,472,790,544,919,み,見,72.3,X,み,4.8,滸,0.0,跼,0.0,汾,0.0
200010454_00016_1,758,1823,830,1922,て,て,67.8,O,毯,0.0,喋,0.0,搏,0.0,騰,0.0
